rollnumber,name,father,email,phone
925156,muddasir,saqib raza,raza@gmail.com,300889900
925157,kamran,nasir,nasir@gmail.com,300889901
925158,amir,arif,arif@gmail.com,300889902
925159,ashraf,mudassir,ashraf@gmail.com,300889903
925160,waqas,muddasir,waqas@gmail.com,300889904
925161,haroon,kamran,haroon@gmail.com,300889905
925162,moosa,amir,moosa@gmail.com,300889906
925163,javed,ashraf,javed@gmail.com,300889907
925164,sohail,waqas,sohail@gmail.com,300889908
925165,waqar,haroon,waqar@gmail.com,300889909
